Month,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,0.0372,0.2704,0.21904,0.23123,0.19815,0.10771,0.00906,0.06634,0.10654,0.07238
2,0.04924,0.08629,0.11937,0.15052,0.20879,0.27428,0.29436,0.24688,0.27486,0.28398
3,0.50509,0.3844,0.37723,0.45818,0.50211,0.54233,0.4584,0.30425,0.22315,0.2382
4,0.37416,0.18566,0.15069,0.18747,0.16747,0.10572,0.11477,0.11485,0.12886,0.14485
5,0.24866,0.12856,0.12955,0.10853,0.05178,0.13647,0.17738,0.17552,0.15461,0.15759
6,-0.03974,0.01693,-0.05579,-0.09458,-0.07668,0.00199,0.05077,0.06873,0.06277,0.04085
7,-0.18801,-0.12555,-0.16555,-0.16848,-0.14556,-0.15641,-0.16434,-0.15047,-0.15551,-0.15254
8,-0.25123,-0.11173,-0.00799,-0.01796,-0.02295,-0.11872,-0.14763,-0.14071,-0.12079,-0.1198
9,-0.22385,-0.14084,-0.10387,-0.11083,-0.07288,0.07883,0.06985,0.06389,0.05492,0.06791
10,-0.15118,-0.18209,-0.22308,-0.2661,-0.31408,-0.31168,-0.2497,-0.1698,-0.14486,-0.14086
11,-0.1484,-0.24464,-0.21053,-0.23669,-0.24173,-0.38796,-0.37071,-0.34047,-0.32745,-0.33245
12,-0.21194,-0.26739,-0.22907,-0.24129,-0.25442,-0.27256,-0.24221,-0.23901,-0.2571,-0.26011
