,USSWII1,USSWII2,USSWII3,USSWII4,USSWII5,USSWII6,USSWII7,USSWII8,USSWII9,USSWII10,USSWII12,USSWII15,USSWII20,USSWII25,USSWII30
2009-01-01,-429.7501,-215.75,-106.5,-50.0,9.75,46.5,80.0,105.25,131.5,153.5,172.75,190.75,200.25,207.25,210.25
2009-01-02,-411.5,-207.25,-105.0,-50.5,10.75,46.75,82.0,106.5,132.25,154.25,173.5,190.25,200.0,204.75,207.75
2009-01-05,-422.5001,-210.5,-100.75,-49.25,13.0,46.0,84.25,108.0,132.5,154.5,174.0,189.5,199.25,209.25,212.25
2009-01-06,-399.75,-191.5,-84.0,-35.75,34.25,65.5,105.0,125.5,144.75,157.75,189.0,199.75,207.25,210.75,212.75
2009-01-07,-410.75,-198.0,-87.5,-33.0,37.25,69.75,102.25,129.0,147.25,160.25,191.25,202.25,210.25,212.75,214.75
2009-01-08,-405.5,-175.5,-71.75,-17.25,36.25,63.25,94.0,120.0,134.0,152.0,174.25,188.5,202.25,207.0,210.0
2009-01-09,-408.5,-181.5,-61.0,-8.5,42.25,71.75,97.0,122.0,139.75,156.75,179.0,191.5,208.5,213.25,215.25
2009-01-12,-413.0,-185.5,-72.5,-10.75,41.0,72.25,95.0,122.5,138.0,156.0,179.5,194.25,211.5,215.75,218.75
2009-01-13,-418.5,-184.0,-69.25,-10.75,47.25,75.25,98.0,122.5,139.0,156.0,180.25,199.75,219.0,229.5,236.5
2009-01-14,-424.7501,-194.25,-80.0,-13.25,42.25,69.0,91.0,112.5,128.5,146.0,169.5,190.25,211.75,222.5,230.5
2009-01-15,-400.0,-180.5,-74.5,-7.5,41.75,70.25,90.25,112.25,128.25,144.25,166.0,187.25,209.5,219.75,227.75
2009-01-16,-338.5,-128.0,-54.0,5.5,55.5,75.5,97.5,119.0,136.25,155.25,173.5,194.5,214.0,225.5,233.5
2009-01-19,-338.5,-128.75,-54.0,5.25,55.5,75.5,97.5,119.0,136.0,155.0,173.5,194.5,214.0,225.5,233.5
2009-01-20,-337.0,-133.5,-46.5,8.0,54.25,82.75,100.0,124.25,139.75,158.75,177.25,196.75,213.5,225.75,232.75
2009-01-21,-320.5,-114.75,-33.75,14.0,58.25,86.75,106.0,127.75,144.25,162.75,179.75,196.0,212.0,226.5,236.5
2009-01-22,-309.25,-93.75,-23.0,22.0,63.5,91.75,109.0,130.25,148.5,166.5,183.25,200.75,217.0,233.25,243.25
2009-01-23,-282.75,-94.0,-24.25,24.25,65.5,92.75,113.0,136.5,156.25,174.25,191.5,208.75,218.75,235.5,244.5
2009-01-26,-269.25,-84.0,-15.0,28.75,67.5,99.75,120.0,141.0,161.75,178.75,194.75,213.0,226.0,236.25,246.25
2009-01-27,-267.0,-85.0,-12.0,39.0,74.5,105.75,127.25,146.75,167.0,181.0,199.25,216.25,227.25,237.75,247.75
2009-01-28,-257.75,-74.0,-3.75,42.0,78.75,114.0,134.25,154.25,172.0,187.0,205.5,220.5,232.0,241.5,251.0
2009-01-29,-234.25,-54.5,13.0,57.0,94.0,126.0,147.75,168.25,186.5,200.5,216.0,230.0,240.0,249.0,259.0
2009-01-30,-214.0,-41.5,26.75,68.25,102.25,129.0,156.0,173.75,191.5,203.5,216.25,227.75,238.75,247.0,255.0
2009-02-02,-220.0,-42.5,21.5,64.5,98.75,125.5,150.25,171.5,188.75,202.25,213.5,224.25,234.75,244.5,253.5
2009-02-03,-207.25,-39.75,30.5,77.5,112.75,139.75,161.0,179.25,197.5,211.0,222.0,232.0,241.0,249.75,261.75
2009-02-04,-196.5,-35.5,40.5,87.25,119.75,146.5,163.25,180.75,199.25,212.75,223.5,234.5,245.75,254.5,266.5
2009-02-05,-197.75,-30.75,43.25,91.75,124.75,150.0,165.0,181.25,195.75,210.75,222.75,234.25,242.75,253.0,263.0
2009-02-06,-183.5,-10.5,63.0,105.25,137.25,160.0,176.5,190.5,204.75,220.75,232.0,242.5,250.5,261.75,271.75
2009-02-09,-154.75,9.25,82.0,127.75,155.75,179.0,195.25,209.75,224.75,235.75,245.0,255.25,264.0,273.0,282.0
2009-02-10,-165.75,-13.25,67.0,108.0,140.5,169.25,184.0,202.25,215.5,226.5,236.0,244.5,250.5,256.0,262.0
2009-02-11,-159.0,-7.5,61.75,101.5,137.25,161.0,178.25,195.0,206.5,217.5,226.5,233.5,238.25,247.0,253.0
2009-02-12,-162.5,-8.5,48.25,91.0,119.5,149.25,171.0,189.5,201.75,210.75,220.0,229.75,237.75,243.25,249.25
2009-02-13,-145.0,10.5,67.0,111.25,129.75,156.75,178.25,194.75,208.75,218.25,228.5,236.25,241.75,248.25,254.25
2009-02-16,-145.0,10.5,67.0,111.25,129.75,156.75,178.25,194.75,208.75,218.25,228.5,236.25,241.75,248.25,254.25
2009-02-17,-167.5,-20.25,46.5,91.5,117.25,139.75,163.25,186.0,200.5,211.5,219.5,227.5,235.5,241.0,248.0
2009-02-18,-153.25,-3.5,41.75,85.0,113.5,138.25,163.5,185.75,200.0,210.0,220.25,230.0,242.5,246.5,252.5
2009-02-19,-146.25,9.75,47.5,85.75,117.0,143.5,167.75,188.5,204.75,216.25,224.5,233.0,244.25,250.5,257.5
2009-02-20,-145.0,13.25,49.75,86.0,119.75,143.0,167.5,189.0,202.0,214.0,224.0,233.5,245.0,252.0,258.0
2009-02-23,-152.0,13.25,42.5,79.25,114.5,139.0,162.5,180.5,196.5,210.5,219.75,229.25,244.25,251.75,256.75
2009-02-24,-139.25,14.25,47.75,87.0,116.25,139.25,161.75,181.0,197.5,208.5,219.5,228.75,246.0,252.5,257.5
2009-02-25,-127.5,15.0,60.25,90.75,120.75,144.25,160.5,178.5,197.0,208.0,217.5,225.75,239.75,247.25,254.25
2009-02-26,-128.75,18.0,60.5,94.0,119.0,139.0,161.25,181.0,200.75,211.75,220.75,229.5,245.0,250.5,255.5
2009-02-27,-132.25,13.25,61.0,95.5,122.0,143.25,162.75,181.25,199.25,210.25,220.0,227.25,242.5,250.25,255.25
2009-03-02,-159.5,-4.75,45.25,82.75,113.25,137.0,155.5,176.0,195.25,206.25,217.0,225.5,239.5,246.5,251.5
2009-03-03,-158.5,-10.75,37.25,76.0,104.25,132.25,156.75,174.0,198.5,209.5,216.75,225.25,240.5,248.0,253.0
2009-03-04,-152.75,-0.5,53.0,82.0,107.5,134.0,158.0,178.0,198.5,209.0,217.75,227.0,242.5,251.0,256.0
2009-03-05,-165.0,-11.0,39.0,75.0,104.5,130.0,150.75,172.5,192.5,203.5,213.25,222.5,237.75,245.5,250.5
2009-03-06,-156.0,-10.75,42.75,76.5,102.0,127.25,149.25,169.0,190.5,200.5,213.0,220.5,234.0,243.75,249.75
2009-03-09,-162.75,-4.25,43.5,76.25,102.5,127.5,150.0,172.0,191.0,202.0,213.5,219.5,232.5,243.25,249.25
2009-03-10,-148.0,-4.25,47.25,76.0,103.25,129.0,152.25,173.75,194.0,205.0,215.5,223.5,237.0,247.0,253.0
2009-03-11,-148.25,2.25,48.0,74.0,105.0,130.0,154.0,173.75,193.75,205.75,216.75,225.5,237.5,248.5,254.5
2009-03-12,-138.75,6.0,53.5,85.0,114.5,142.75,166.0,186.0,207.75,218.75,227.25,233.5,239.75,249.75,256.75
2009-03-13,-138.0,8.5,59.25,93.5,124.25,148.25,173.0,193.75,210.25,220.25,231.25,238.25,244.25,253.5,260.5
2009-03-16,-136.75,10.5,64.75,101.0,130.0,154.0,179.25,197.5,215.25,224.75,235.5,243.25,249.0,257.5,265.5
2009-03-17,-128.0,16.25,69.0,102.75,137.25,157.0,185.0,202.75,219.0,229.5,239.75,245.75,250.0,259.0,267.0
2009-03-18,-106.0,33.25,83.25,113.5,143.25,166.75,192.75,215.25,229.0,241.0,248.5,253.0,254.75,260.0,265.0
2009-03-19,-107.5,34.0,85.25,121.5,157.0,181.5,207.0,228.0,243.25,251.25,254.0,254.25,254.25,261.25,266.25
2009-03-20,-107.25,26.25,85.0,114.5,148.0,174.5,200.5,218.5,231.75,239.75,244.25,247.75,251.25,254.0,258.5
